name;sku;price;quantity;description
Levofloxacin;0143-9775;838514;14;Resection of Right Upper Arm Muscle, Percutaneous Endoscopic Approach
Visine A,C,;42002-201;571944;57;Occlusion of Superior Mesenteric Vein with Intraluminal Device, Open Approach
ADRENAL ENERGY;49304-0009;627544;95;Restriction of Right Ureter with Intraluminal Device, Via Natural or Artificial Opening Endoscopic
Pleo San Brucel;60681-1234;957423;15;Extirpation of Matter from Right Posterior Tibial Artery, Percutaneous Endoscopic Approach
Risperidone;58118-5684;762607;93;Bypass Bilateral Ureters to Colon, Open Approach
Topcare Cough and Sore Throat;36800-698;643693;31;Insertion of Infusion Device into Right Upper Extremity, Open Approach
BOTOX Cosmetic;0023-3919;557938;29;Resection of Left Kidney Pelvis, Via Natural or Artificial Opening Endoscopic
Vanilla Hand Sanitizer;51263-3125;81438;95;Excision of Abdomen Subcutaneous Tissue and Fascia, Open Approach, Diagnostic
Leader Antacid;37205-200;22865;24;Dilation of Left Temporal Artery with Two Intraluminal Devices, Percutaneous Approach
StaphWash Plus;43074-105;467251;40;Resection of Left Iris, Percutaneous Approach
Aspirin;41520-228;783764;29;Revision of Stimulator Lead in Ureter, Percutaneous Endoscopic Approach
ESIKA;13537-373;501956;72;Reattachment of Left Upper Leg, Open Approach
good neighbor pharmacy nicotine;24385-976;193722;15;Bypass Duodenum to Jejunum with Synthetic Substitute, Open Approach
Propranolol Hydrochloride;0054-3727;650066;95;Insertion of Internal Fixation Device into Left Pelvic Bone, Percutaneous Approach
Namenda;55289-937;277841;56;Bypass Thoracic Aorta, Ascending/Arch to Carotid with Nonautologous Tissue Substitute, Open Approach
Venlafaxine Hydrochloride;42291-893;965752;23;Destruction of Right Hand Artery, Percutaneous Endoscopic Approach
SENSI CARE PROTECTIVE BARRIER;43553-3256;573304;33;Supplement Right Thumb with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach
Anticavity;55319-213;986285;88;Replacement of Upper Tooth, Multiple, with Synthetic Substitute, External Approach
Ciprofloxacin;52125-789;888814;42;Fluoroscopy of Right Subclavian Vein using Other Contrast
shoprite ni-calm;41190-763;2785;65;Drainage of Left Submaxillary Gland, Percutaneous Approach
Atenolol;53489-530;269575;50;Revision of External Fixation Device in Right Metacarpal, Open Approach
Sulfamethoxazole and Trimethoprim;61971-120;615792;33;Packing of Head using Packing Material
Pleo Chrys;60681-1086;642706;79;Transfer Radial Nerve to Ulnar Nerve, Open Approach
Healthy Makeup;10096-0216;149828;65;Drainage of Right Foot Vein with Drainage Device, Percutaneous Endoscopic Approach
HEM-EASY RELIEF Herbal Anti-Itch MAXIMUM ITCH RELIEF;69179-491;192782;53;Drainage of Carina, Percutaneous Endoscopic Approach, Diagnostic
Fluphenazine Hydrochloride;58118-1437;286258;40;Repair Left Radius, Percutaneous Approach
3M Avagard D;17518-050;160358;85;Drainage of Right Adrenal Gland, Percutaneous Endoscopic Approach
Oxygen;52346-013;34882;80;Bypass Right Fallopian Tube to Left Fallopian Tube with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach
BETTER THAN NATURE EMULSION;51346-118;320649;30;Control Bleeding in Left Femoral Region, Percutaneous Approach
Renes Cuprum Special Order;48951-8128;287600;52;Insertion of External Fixation Device into Right Metatarsal-Tarsal Joint, Percutaneous Approach
pain relief pm;37808-751;10138;69;Extirpation of Matter from Left Upper Femur, Percutaneous Endoscopic Approach
Amlodipine Besylate;24236-754;524129;1;Release Right Upper Extremity Bursa and Ligament, Percutaneous Approach
Cetirizine Hydrochloride;67668-161;638208;89;Plain Radiography of Right Elbow using Low Osmolar Contrast
Bupivacaine Hydrochloride;55150-168;456857;81;Reposition Thoracic Vertebral Joint with Internal Fixation Device, External Approach
Metformin Hydrochloride;24658-291;254799;7;Supplement Left Upper Leg with Autologous Tissue Substitute, Percutaneous Endoscopic Approach
Famotidine;0172-5728;823260;30;Dilation of Left Femoral Artery with Two Intraluminal Devices, Percutaneous Approach
PHENERGAN;0641-6085;971218;76;Beam Radiation of Nasopharynx using Electrons
Budesonide;0487-9701;319013;78;Hyperthermia of Chest Skin
ONDANSETRON;58118-0240;847072;24;Replacement of Right Metacarpal with Autologous Tissue Substitute, Open Approach
FERROUS SULFATE;53807-177;558744;79;Transfusion of Nonautologous Fresh Plasma into Peripheral Artery, Percutaneous Approach
Crest 3D White;37000-831;595588;14;Drainage of Right Ankle Bursa and Ligament with Drainage Device, Percutaneous Endoscopic Approach
Clearasil Ultra;63824-324;245977;18;Restriction of Right Main Bronchus, Percutaneous Approach
Orasep;54859-503;355811;26;Introduction of Radioactive Substance into Epidural Space, Percutaneous Approach
DHS SAL;0096-0738;104365;71;Replacement of Left External Jugular Vein with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach
Guanfacine Hydrochloride;65162-711;825088;9;Release Ulnar Nerve, Percutaneous Approach
True Essentials;24488-024;47024;38;Release Right Acetabulum, Open Approach
Telmisartan and Amlodipine;13668-343;540516;42;Release Left Common Iliac Vein, Open Approach
Fexofenadine Hydrochloride;21695-462;846078;18;Release Left Finger Phalangeal Joint, Open Approach
Chlorpropamide;0378-0197;116619;23;Occlusion of Right Lesser Saphenous Vein, Percutaneous Endoscopic Approach
itchy eye;37808-615;170948;95;Drainage of Right Shoulder Joint, Open Approach, Diagnostic
Diltiazem Hydrochloride;54868-5208;535841;40;Excision of Left External Jugular Vein, Percutaneous Endoscopic Approach, Diagnostic
AllergyEase Weather Changes;68703-116;258634;80;Drainage of Right Main Bronchus, Percutaneous Approach, Diagnostic
Erythromycin;49999-136;108833;13;Drainage of Right Upper Lung Lobe, Percutaneous Endoscopic Approach
NITROGEN;22557-002;296084;94;Dilation of Pancreatic Duct, Percutaneous Approach
ZINACEF;24987-436;808316;79;Drainage of Left Foot Vein, Percutaneous Endoscopic Approach
Toothache Complex;52731-7044;272256;55;Removal of Synthetic Substitute from Left Acromioclavicular Joint, Percutaneous Endoscopic Approach
Digoxin;53808-0354;928798;68;Drainage of Right Thyroid Gland Lobe with Drainage Device, Open Approach
Bioelements;49825-112;86928;97;Revision of Monitoring Device in Upper Artery, Open Approach
Amlodipine Besylate;0904-5992;5897;63;Removal of Extraluminal Device from Lower Intestinal Tract, Via Natural or Artificial Opening
DIVALPROEX SODIUM EXTENDED-RELEASE;55154-4760;696432;37;Introduction of Analgesics, Hypnotics, Sedatives into Female Reproductive, Via Natural or Artificial Opening Endoscopic
Pleo Nig Ex;60681-2112;644264;6;Repair Left Sclera, External Approach
Nitroglycerin Transdermal System;49730-113;226864;65;Ultrasonography of Head and Neck
Aunt Bees Five Flavors;62932-145;340322;96;Dilation of Inferior Mesenteric Artery, Bifurcation, with Two Intraluminal Devices, Open Approach
AMARANTHUS PALMERI POLLEN;0268-1094;821057;14;Removal of Nonautologous Tissue Substitute from Epididymis and Spermatic Cord, Percutaneous Approach
Pollens - Trees, Tree Mix 5;65044-2855;830721;68;Supplement Right Innominate Vein with Autologous Tissue Substitute, Percutaneous Endoscopic Approach
piperacillin and tazobactam;67457-521;791258;68;Reposition Left Subclavian Artery, Percutaneous Approach
Juicy Orange Antibacterial Foaming Hand Wash;43269-753;667918;46;Reposition Right Temporomandibular Joint with Internal Fixation Device, Open Approach
Haben Herb;69195-1001;412428;88;Fragmentation in Descending Colon, Via Natural or Artificial Opening
XtraCare Ice Cold Topical Analgesic Gel;57337-052;723097;85;Insertion of Monitoring Device into Superior Vena Cava, Percutaneous Approach
Citalopram;24658-142;125082;5;Destruction of Lung Lingula, Open Approach
topcare childrens mucus relief multi symptom cold;36800-839;828812;37;Drainage of Left Inguinal Region with Drainage Device, Percutaneous Endoscopic Approach
Ampicillin;10515-146;417087;41;Removal of External Fixation Device from Left Knee Joint, Percutaneous Approach
Theraflu;0043-6265;218701;90;Supplement Right Ureter with Nonautologous Tissue Substitute, Open Approach
BENZTROPINE MESYLATE;55154-0696;138807;97;Bypass Right Basilic Vein to Upper Vein with Autologous Venous Tissue, Percutaneous Endoscopic Approach
Carbamazepine;60429-255;86983;80;Drainage of Small Intestine, Percutaneous Endoscopic Approach, Diagnostic
MISSHA M SIGNATURE RADIANCE TWO WAY PACT;13733-005;230413;95;Supplement Right Ureter with Nonautologous Tissue Substitute, Open Approach
Zohar Toothpaste;55754-121;794410;2;Transfusion of Autologous Globulin into Peripheral Vein, Open Approach
Nobac Plus E3;31511-010;163471;26;Extirpation of Matter from Right Lower Lung Lobe, Via Natural or Artificial Opening
Ammonia N 13;13267-456;676167;81;Revision of Autologous Tissue Substitute in Vagina and Cul-de-sac, Open Approach
Esmolol Hydrochloride;52584-062;490353;18;Dilation of Left Radial Artery, Bifurcation, with Three Intraluminal Devices, Open Approach
HCG Plus;54118-7188;731121;18;Excision of Left Metacarpophalangeal Joint, Open Approach
Muellergesic Cream;52564-312;718666;19;Repair Left Renal Artery, Percutaneous Approach
Candin;59584-138;983714;26;Excision of Right Middle Lobe Bronchus, Percutaneous Endoscopic Approach
SENSODYNE;0135-0518;87539;74;Drainage of Left Hand Muscle, Open Approach, Diagnostic
Orapred;59212-700;799316;3;Dilation of Hepatic Artery, Bifurcation, with Two Intraluminal Devices, Percutaneous Approach
Dextroamphetamine Saccharate, Amphetamine Aspartate Monohydrate, Dextroamphetamine Sulfate and Amphetamine Sulfate;13107-068;793417;78;Extirpation of Matter from Left Temporal Artery, Percutaneous Approach
OMESEC;16853-1308;973339;58;Revision of Autologous Tissue Substitute in Lumbosacral Disc, Percutaneous Approach
White Hickory;36987-2682;336301;25;Dilation of Gastric Vein, Open Approach
EZ2go;76470-005;33894;15;Revision of Intraluminal Device in Vagina and Cul-de-sac, External Approach
SUMATRIPTAN;0781-6524;851793;34;Replacement of Right Hand Subcutaneous Tissue and Fascia with Synthetic Substitute, Open Approach
Antispetic;63941-664;84533;24;Revision of Nonautologous Tissue Substitute in Left Temporomandibular Joint, Open Approach
Guaifenesin DM;0121-4809;527712;52;Bypass Left External Iliac Artery to Bilateral Internal Iliac Arteries with Autologous Arterial Tissue, Percutaneous Endoscopic Approach
aspirin;37808-274;165108;42;Revision of Synthetic Substitute in Thoracic Vertebral Disc, External Approach
Stay Awake;70253-226;85427;30;Removal of Drainage Device from Right Metacarpocarpal Joint, External Approach
NICODERM;0135-0145;697593;5;Revision of Autologous Tissue Substitute in Lower Jaw, Percutaneous Endoscopic Approach
Natural Testosterone;43857-0022;267218;5;Replacement of Left Thumb Phalanx with Autologous Tissue Substitute, Open Approach
FLUPHENAZINE HYDROCHLORIDE;49349-354;576258;28;Fluoroscopy of Bile Ducts using Low Osmolar Contrast
Fluoxetine;0378-0735;5560;80;Transfer Facial Muscle, Open Approach
Gabapentin;0093-4443;146247;64;Drainage of Bilateral Adrenal Glands, Percutaneous Endoscopic Approach, Diagnostic
butalbital, acetaminophen and caffeine;52125-274;558455;28;Inspection of Pleura, Via Natural or Artificial Opening
Fibromyalgia Relief;61727-321;563250;42;Drainage of Female Perineum with Drainage Device, Open Approach
DESOGESTREL AND ETHINYL ESTRADIOL AND ETHINYL ESTRADIOL;0378-7296;509425;29;Supplement of Left Foot Subcutaneous Tissue and Fascia with Synthetic Substitute, Percutaneous Approach
Thyro Tonic;57520-0468;942757;37;Drainage of Right Large Intestine with Drainage Device, Via Natural or Artificial Opening
ADVANCED CELL BOOSTING EX WATERY;51346-197;540315;91;Bypass Right Renal Vein to Lower Vein with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach
SOMA Hyulgihwan;58370-2001;900818;40;Supplement Right External Jugular Vein with Synthetic Substitute, Percutaneous Endoscopic Approach
equaline hair regrowth treatment;41163-856;438022;15;Occlusion of Ileocecal Valve with Extraluminal Device, Open Approach
Egg Yolk;36987-1137;137211;94;Revision of Spacer in Left Carpal Joint, Percutaneous Endoscopic Approach
Viagra;0069-4220;951371;45;Manual Therapy Techniques Treatment of Integumentary System - Lower Back / Lower Extremity
Sonata;54868-5139;507103;47;Bypass Abdominal Aorta to Right Internal Iliac Artery with Nonautologous Tissue Substitute, Open Approach
CLEAR UP Cleansing;62499-394;311225;46;Occlusion of Left Hand Vein, Open Approach
Gynobalance;57520-0104;16753;69;Destruction of Appendix, Open Approach
Duloxetine;55154-4980;532545;34;Repair Right Foot Bursa and Ligament, Percutaneous Approach
Dye-Free Allergy;59779-614;398428;7;Drainage of Bilateral Adrenal Glands, Percutaneous Approach
Rizatriptan Benzoate;68788-9550;170666;2;Insertion of Pressure Sensor Monitoring Device into Left Pulmonary Vein, Open Approach
Pioglitazone hydrochloride and glimepiride;0781-5635;740089;3;Replacement of Perineum Subcutaneous Tissue and Fascia with Autologous Tissue Substitute, Open Approach
Aspen;36987-2507;118746;12;Detachment at Left 2nd Toe, High, Open Approach
Levothyroxine Sodium;49349-376;666583;47;Revision of Synthetic Substitute in Thoracic Vertebra, Percutaneous Endoscopic Approach
Oxycodone and Acetaminophen;65162-207;301037;61;Upper Bones, Extirpation
Carbamazepine;0832-0611;533093;69;Supplement Stomach with Synthetic Substitute, Via Natural or Artificial Opening Endoscopic
Mirtazapine;76237-210;822656;21;Reposition Left Clavicle with Internal Fixation Device, Percutaneous Endoscopic Approach
Atenolol;0093-0752;475301;20;Dilation of Right Foot Artery, Bifurcation, with Intraluminal Device, Open Approach
Chicken Feather;49288-0126;610585;80;Removal of Nonautologous Tissue Substitute from Left Hip Joint, Open Approach
Low Dose Asprin;55910-563;656698;83;Drainage of Right Hepatic Duct with Drainage Device, Open Approach
Pain Reliever;41268-405;898563;95;Destruction of Right Hypogastric Vein, Open Approach
cetylpyridinium chloride;53462-175;193467;40;Dilation of Right Popliteal Artery, Bifurcation, with Four or More Intraluminal Devices, Percutaneous Endoscopic Approach
TEMAZEPAM;61919-438;390333;94;Excision of Cervical Vertebra, Open Approach, Diagnostic
being well omeprazole;46994-915;236685;29;Destruction of Right Humeral Shaft, Percutaneous Endoscopic Approach
Valacyclovir Hydrochloride;50268-788;249219;80;Revision of Spacer in Right Hip Joint, Percutaneous Endoscopic Approach
Oxaliplatin;47335-047;612675;2;Release Left Thorax Tendon, Open Approach
XtraCare Foam Antibacterial Hand Wash;57337-046;786578;86;Drainage of Dura Mater, Percutaneous Endoscopic Approach
nitrogen;20703-001;6018;88;Excision of Right Ulnar Artery, Percutaneous Endoscopic Approach
RHINOCORT AQUA;0186-1070;193522;52;Reposition Bilateral External Ear, Percutaneous Endoscopic Approach
LBEL COULEUR LUXE AMPLIFIER XP;13537-436;500615;26;Excision of Hepatic Artery, Open Approach
MagneBind 400 Rx;68151-4243;588383;95;Revision of Intraluminal Device in Ureter, External Approach
Bethanechol Chloride;50111-323;721943;94;Repair Stomach, Percutaneous Endoscopic Approach
Bromocriptine mesylate;68151-1305;123172;55;Bypass Jejunum to Cutaneous with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach
Repaglinide;65862-672;742676;51;Excision of Left Knee Joint, Percutaneous Endoscopic Approach, Diagnostic
HYDROCODONE BITARTRATE AND ACETAMINOPHEN;0406-0125;920961;79;Occlusion of Left Vertebral Artery, Percutaneous Approach
SENSAI CONCEALER (BRUSH TYPE);64159-6978;128324;46;Replacement of Right Hand Subcutaneous Tissue and Fascia with Nonautologous Tissue Substitute, Percutaneous Approach
care one flu and severe cold and cough;41520-964;926818;59;Bypass Coronary Artery, Three Arteries from Coronary Vein with Intraluminal Device, Percutaneous Approach
nicotine;21130-352;307814;38;Removal of Nonautologous Tissue Substitute from Right Metatarsal-Tarsal Joint, Percutaneous Approach
Multi-Symptom Cold Relief;11822-0529;261526;3;Bypass Right Subclavian Artery to Left Pulmonary Artery with Nonautologous Tissue Substitute, Open Approach
DDF;37000-333;399572;54;Destruction of Soft Palate, Percutaneous Approach
Ephedrine Sulfate;17478-823;541194;29;Reattachment of Left Hand Tendon, Percutaneous Endoscopic Approach
AZITHROMYCIN;21695-013;738062;73;Replacement of Left Internal Iliac Artery with Autologous Tissue Substitute, Open Approach
Extra Strength Aspirin Free Pain Relief;21130-519;500882;29;Removal of Bone Growth Stimulator from Nasal Bone, External Approach
Fluocinolone Acetonide;0713-0324;838161;46;Release Left Maxilla, Percutaneous Approach
PANROSA Green Apple Scented Hand;50302-300;72336;50;Obstetrics, Pregnancy, Reposition
sunmark Povidone-Iodine Topical;49348-622;269347;63;Inspection of Left Inner Ear, Open Approach
Nitrofurantion Macrocrystals;52125-120;356169;99;Introduction of Radioactive Substance into Central Vein, Open Approach
Amitriptyline Hydrochloride;50436-3075;419481;64;Drainage of Left Cephalic Vein, Percutaneous Endoscopic Approach, Diagnostic
Perrigo Seb Prev;45802-960;497535;32;Revision of Autologous Tissue Substitute in Right Ulna, External Approach
Olay Total Effects Feather Weight Moisturizer;37000-292;456391;32;Bypass Left Kidney Pelvis to Bladder, Open Approach
tussin dm;42507-578;585467;81;Supplement Anus with Nonautologous Tissue Substitute, Open Approach
Perrigo Hydroquinone;45802-984;788633;27;Excision of Left Inferior Parathyroid Gland, Open Approach
R,E,M, Day SPF 30;57913-2834;493741;88;Bypass Right Hepatic Duct to Stomach, Open Approach
Vaseline;64942-0034;233322;73;Revision of Autologous Tissue Substitute in Left Ulna, External Approach
fexofenadine hydrochloride;35356-749;929358;27;Drainage of Left Upper Femur, Open Approach
Ofloxacin Ophthalmic;60505-0560;295394;71;Measurement of Venous Pulse, Central, Open Approach
ERY-TAB;0179-1427;996781;2;Drainage of Descending Colon with Drainage Device, Via Natural or Artificial Opening
Acute Viro Reliever;66579-0019;93792;33;Supplement Accessory Pancreatic Duct with Autologous Tissue Substitute, Percutaneous Endoscopic Approach
GAVILAX;43386-312;824302;87;Chiropractic Manipulation of Lower Extremities, Mechanically Assisted
Cold and Cough;63868-065;77018;72;Drainage of Left Elbow Bursa and Ligament with Drainage Device, Percutaneous Approach
SyReflux;10424-145;461137;54;Dilation of Coronary Artery, Three Arteries with Two Intraluminal Devices, Percutaneous Endoscopic Approach
H-Jock Itch Formula;61077-089;567336;90;Restriction of Left Thyroid Artery with Extraluminal Device, Open Approach
Hackberry;36987-3355;671098;76;Supplement Right Brachial Vein with Autologous Tissue Substitute, Percutaneous Approach
Prevantics Swab;10819-1080;311174;86;Monitoring of Respiratory Flow, Via Natural or Artificial Opening
Analgesic;32472-102;9424;43;Dilation of Right Femoral Artery, Bifurcation, with Three Intraluminal Devices, Percutaneous Endoscopic Approach
Azithromycin;63187-093;669902;13;Reposition Right Ankle Joint, Open Approach
COTTON FIBER;0268-6303;695513;94;Excision of Soft Palate, External Approach, Diagnostic
Anti-Bacterial Hand Spray;62670-3756;876306;42;High Dose Rate (HDR) Brachytherapy of Tongue using Iridium 192 (Ir-192)
HUMATROPE;0002-8149;271890;35;Revision of Intraluminal Device in Kidney, External Approach
Painful Urination;64117-177;755518;84;Repair Left External Auditory Canal, Percutaneous Approach
fenofibrate;45802-132;427482;18;Supplement Left Shoulder Bursa and Ligament with Autologous Tissue Substitute, Percutaneous Endoscopic Approach
ceftriaxone;25021-105;182217;72;Dilation of Right Basilic Vein with Intraluminal Device, Percutaneous Approach
Tamsulosin Hydrochloride;68084-299;6162;28;Excision of Brachial Plexus, Open Approach
Doxycycline Hyclate;11819-311;600329;12;Drainage of Left Upper Arm Subcutaneous Tissue and Fascia, Open Approach
RIBASPHERE;66435-104;559094;98;Repair Left Axillary Artery, Percutaneous Approach
Methocarbamol;0615-7573;89422;6;Insertion of Infusion Device into Ureter, Percutaneous Approach
Neutrogena MoistureShine SPF20;10812-335;261560;85;Destruction of Left External Ear, External Approach
Sodium Chloride;0409-4888;270685;37;Dilation of Superior Mesenteric Artery, Percutaneous Approach
Citalopram;49349-731;854206;51;Insertion of Intraluminal Device into Right Posterior Tibial Artery, Percutaneous Endoscopic Approach
Purminerals 4-in-1 14-Hour Wear Foundation Broad Spectrum SPF 15 (GOLDEN MEDIUM);67345-0007;74803;86;Orofacial Myofunctional Assessment using Audiovisual Equipment
Allergy Relief;37808-085;832261;90;Tomographic (Tomo) Nuclear Medicine Imaging of Left Lower Extremity using Other Radionuclide
Ketoprofen;0093-3193;411489;23;Resection of Nasopharynx, Open Approach
Mucus Relief;33992-0107;571397;17;Supplement Right Hip Joint with Synthetic Substitute, Open Approach
INLYTA;0069-0151;908419;75;Fusion of 8 or more Thoracic Vertebral Joints, Anterior Approach, Anterior Column, Percutaneous Endoscopic Approach
Lorcet;55154-7301;905297;46;Release Facial Muscle, Open Approach
WATERMELON FROST SORE THROAT;62785-001;221270;72;Drainage of Glossopharyngeal Nerve, Open Approach, Diagnostic
MESNEX;67108-3565;44772;20;Dilation of Coronary Artery, Two Arteries with Radioactive Intraluminal Device, Percutaneous Approach
Acyclovir;55289-629;168079;1;Removal of Intraluminal Device from Right Ear, Via Natural or Artificial Opening Endoscopic
Naproxen Sodium;50268-593;889439;2;Extirpation of Matter from Right Lacrimal Duct, Open Approach
INSTANT Hand Sanitizer Extra Enriched With Vitamin E Lemon Fresh Scent;33992-1062;830878;9;Replacement of Right Colic Artery with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach
Bald Cypress;36987-2621;387183;31;Excision of Right Foot Tendon, Percutaneous Approach
Fenofibrate;61269-210;146840;77;Replacement of Left Ulnar Artery with Autologous Tissue Substitute, Percutaneous Endoscopic Approach
LONDON Hand Sanitizer Vanilla Scent;60675-003;228460;46;Dilation of Left Thyroid Artery, Percutaneous Approach
flormar REBORN FOUNDATION SUNSCREEN BROAD SPECTRUM SPF 20 SF13 Nude Ivory;61722-204;470149;70;Removal of Extraluminal Device from Fallopian Tube, Percutaneous Approach
Ativan;64455-065;497671;80;Bypass Right Hand Vein to Upper Vein with Autologous Tissue Substitute, Open Approach
VFEND;55154-2725;108572;52;Insertion of Artificial Sphincter into Bladder Neck, Via Natural or Artificial Opening Endoscopic
Cultivated Rye;36987-2372;478400;65;Extirpation of Matter from Left Upper Leg Subcutaneous Tissue and Fascia, Percutaneous Approach
Treatment Set TS349291;49288-0911;906521;27;Excision of Bilateral Epididymis, Open Approach, Diagnostic
Gabapentin;58118-0223;171600;20;Plaque Radiation of Sinuses
A-D-D;61657-0015;777391;41;Replacement of Right Cephalic Vein with Synthetic Substitute, Open Approach
PureLife APF;68987-024;978113;72;Revision of Intraluminal Device in Right Ear, Via Natural or Artificial Opening Endoscopic
Fluconazole;49349-199;880636;43;Removal of Other Device from Female Perineum, Percutaneous Approach
LEVOPHED;0409-3375;107980;77;Occlusion of Right Internal Mammary Artery with Intraluminal Device, Open Approach
Bromday;24208-099;250671;6;High Dose Rate (HDR) Brachytherapy of Pituitary Gland using Cesium 137 (Cs-137)
LEADER ORIGINAL FORMULA;37205-139;488252;47;Insertion of Internal Fixation Device into Thoracic Vertebral Joint, Open Approach
Risperidone;55111-202;787170;53;Bypass Coronary Artery, Two Arteries from Abdominal Artery with Synthetic Substitute, Percutaneous Endoscopic Approach
Cold Spot;65121-001;684029;33;Reposition Left Lacrimal Gland, Open Approach
Nadolol;42254-218;121868;100;Dilation of Left Anterior Tibial Artery, Bifurcation, with Drug-eluting Intraluminal Device, Percutaneous Endoscopic Approach
SELENIUM SULFIDE;54569-1139;504658;23;Repair Trachea, Percutaneous Endoscopic Approach
Neova DNA Damage Control - Everyday;62362-159;30298;74;Drainage of Gastric Artery with Drainage Device, Percutaneous Approach
Baby Teething;54973-3127;136061;30;Removal of Spacer from Right Carpal Joint, Percutaneous Endoscopic Approach
Verapamil Hydrochloride;0378-6203;614771;17;Fusion of Lumbar Vertebral Joint with Synthetic Substitute, Posterior Approach, Anterior Column, Open Approach
CEFTRIAXONE;68180-611;873880;29;Removal of Other Device from Abdominal Wall, External Approach
Sports For Trauma;53499-5492;790455;8;Occlusion of Left Basilic Vein with Intraluminal Device, Open Approach
Voraxaze;50633-210;62082;1;Destruction of Right Brachial Artery, Percutaneous Approach
Amitriptyline Hydrochloride;64725-1487;384553;81;Supplement Thoracic Aorta, Descending with Zooplastic Tissue, Percutaneous Approach
Depo-Medrol;0009-3475;520902;3;Fluoroscopy of Upper Extremity
Cafe au lait Always Stay-on Makeup Broad Spectrum SPF 15;68828-168;283225;67;Extirpation of Matter from Right Pulmonary Artery, Open Approach
TEMAZEPAM;61919-437;690378;13;Release Transverse Colon, Percutaneous Endoscopic Approach
Treatment Set TS340153;49288-0808;566925;1;Revision of Infusion Device in Penis, External Approach
COCONUT;54575-378;903376;93;Drainage of Right Elbow Bursa and Ligament, Open Approach, Diagnostic
Desoximetasone;68462-531;666350;16;Plaque Radiation of Brain Stem
Proactiv Revitalizing Toner Combination Therapy Acne Treatment;11410-019;973150;4;Inspection of Female Perineum, Percutaneous Endoscopic Approach
Azor;65597-113;35752;49;Drainage of Left Thorax Tendon, Percutaneous Approach
Benicar;35356-216;489937;10;Replacement of Superior Mesenteric Artery with Autologous Tissue Substitute, Open Approach
Pain Relief PM;41163-229;15563;48;Computerized Tomography (CT Scan) of Colon using Low Osmolar Contrast, Unenhanced and Enhanced
GOWOONSESANG PERFECT PORE COVER BB;51621-044;70470;22;Planar Nuclear Medicine Imaging of Kidneys, Ureters and Bladder using Technetium 99m (Tc-99m)
ibuprofen;59779-647;270347;55;Range of Motion and Joint Mobility Treatment of Neurological System - Head and Neck using Prosthesis
Treatment Set TS329123;49288-0688;658617;54;Bypass Right Basilic Vein to Upper Vein with Nonautologous Tissue Substitute, Open Approach
Heparin Sodium in Dextrose;0338-0552;648435;48;Revision of Internal Fixation Device in Left Radius, Percutaneous Endoscopic Approach
Mirtazapine;59762-1412;459230;81;Extirpation of Matter from Right Hand Artery, Bifurcation, Percutaneous Endoscopic Approach
Acetaminophen,Dextromethorphan,Phenylephrine;58805-002;550551;97;Repair Left Ring Finger, Open Approach
ARNICA MONTANA;10191-1245;147716;62;Bypass Bilateral Ureters to Colocutaneous with Nonautologous Tissue Substitute, Open Approach
LORAZEPAM;42549-558;270281;97;Resection of Left Large Intestine, Via Natural or Artificial Opening
Glycopyrrolate;0722-7097;660147;81;Release Left Submaxillary Gland, Open Approach
Ranitidine;35356-670;927229;88;Dilation of Splenic Artery with Three Drug-eluting Intraluminal Devices, Percutaneous Endoscopic Approach
Kogenate FS;0026-3793;554439;63;Therapeutic Exercise Treatment of Integumentary System - Upper Back / Upper Extremity using Prosthesis
Triamterene and Hydrochlorothiazide;54569-2545;391003;92;Bypass Left Kidney Pelvis to Ileocutaneous with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach
Ciprofloxacin;0143-9927;943036;14;Insertion of Defibrillator Generator into Abdomen Subcutaneous Tissue and Fascia, Percutaneous Approach
Tiger Balm White;66761-309;781029;2;Introduction of Anti-inflammatory into Ear, Via Natural or Artificial Opening
Norco;52544-161;71787;1;Removal of Nonautologous Tissue Substitute from Abdominal Wall, Percutaneous Approach
Fragmin;62856-250;790863;40;Excision of Ampulla of Vater, Via Natural or Artificial Opening, Diagnostic
SHISEIDO WHITE LUCENT BRIGHTENING SPOT-CONTROL FOUNDATION (REFILL);52686-257;928502;19;Division of Left Carpal, Open Approach
Pentoxifylline;53808-0757;464922;31;Extirpation of Matter from Nasal Bone, Open Approach
Stay Alert Aid;11822-0226;796574;26;Bypass Left Fallopian Tube to Uterus with Autologous Tissue Substitute, Open Approach
Peptic Relief;15127-550;726382;12;Transfer Glossopharyngeal Nerve to Abducens Nerve, Open Approach
Panatuss PED;11026-2785;108680;59;Insertion of Infusion Device into Right Upper Extremity, Open Approach
ESIKA;13537-346;68533;55;Restriction of Large Intestine with Intraluminal Device, Percutaneous Approach
Venlafaxine;53808-0937;486488;21;Detachment at Right Thumb, Low, Open Approach
Pramipexole Dihydrochloride;60951-935;473744;1;Extirpation of Matter from Left Axillary Lymphatic, Open Approach
DARANIDE;51672-4144;543339;32;Repair Right Scapula, Percutaneous Endoscopic Approach
